week_ending,region,year,month,season,decade,total_beef_dairy,mean_daytime_hours_above_30,mean_daytime_hours_above_35,mean_nighttime_hours_above_21,mean_vpd_mean,mean_vpd_max,heat_vpd_product,heat_vpd_recovery_compound,extreme_stress_compound,weighted_compound_index,threshold_score,pca_compound_index,stress_category
1988-06-04,6,1988,6,Summer,1980,18.4,8.382151029748334,0.4027459954236111,54.62471395881,1.3388893604278564,2.2317609786987305,11.222772831229445,72.52684840429072,4.346689587454208,0.37302662030951805,1,0.9649596130452371,Moderate
1988-06-11,6,1988,6,Summer,1980,19.3,19.55606407322667,5.16704805492,58.43249427917611,1.99022376537323,3.2395007610321045,38.92094347569733,266.3457241740794,97.36765176651572,0.5745745280413023,2,3.073868120558165,Moderate
1988-06-18,6,1988,6,Summer,1980,22.2,21.171624713958888,3.041189931350278,62.26544622425611,1.8937233686447144,3.031160593032837,40.09320047299991,289.7353022739895,56.3710682452167,0.5935947338733805,2,2.7843118982616115,Moderate
1988-06-25,6,1988,6,Summer,1980,19.5,28.784897025171666,8.187643020595,67.86727688787167,2.2226672172546387,3.411747455596924,63.979246969899634,498.1889738882699,203.12041044321052,0.7277697774200254,4,4.231064856545764,High
1988-07-02,6,1988,7,Summer,1980,17.0,22.176201372997777,6.485125858123611,63.77574370709361,1.6027181148529053,2.6462371349334717,35.54219965912941,262.2152212838281,114.00600500023346,0.5792920187422325,3,2.799900101698036,Moderate
1988-07-09,6,1988,7,Summer,1980,13.5,20.521739130435,2.162471395881111,66.42562929061778,1.4990829229354858,2.4531476497650146,30.763788679372038,235.11419091845912,35.67731878374723,0.5579040721184991,2,2.1117371285970545,Moderate
1988-07-16,6,1988,7,Summer,1980,19.2,26.327231121281667,7.283752860411944,66.09839816933611,1.6495676040649414,2.7837255001068115,43.42854756239656,330.48429043192044,143.29588408227875,0.6368007556161455,3,3.2108925758488756,High
1988-07-23,6,1988,7,Summer,1980,16.8,23.352402745995555,6.5652173913044445,65.03661327231111,1.8069801330566406,2.967927932739258,42.197327821151305,316.63445688406654,131.0316707001379,0.6168502351395106,3,3.210764222359804,Moderate
1988-07-30,6,1988,7,Summer,1980,16.0,26.96338672768889,7.601830663615833,66.84668192219667,1.9029179811477661,3.163008451461792,51.309113436760214,394.2935119984619,170.52997279658967,0.6719210620057638,3,3.686273256054188,High
1988-08-06,6,1988,8,Summer,1980,16.5,24.123569794050557,5.828375286041389,65.7391304347825,1.6086375713348389,2.6690244674682617,38.80608072542797,293.9138809725888,107.48643528341837,0.6071268307838248,3,2.8583633330711873,Moderate
